SAMPLE_ID	TAP1	B2M	IRF1	STAT1	CXCL9	CXCL10	PSMB9	NLRC5	HLA-A	HLA-B
TCGA-CR-7390-01	-1.1232	-1.1529	-1.1523	-1.2187	-0.6371	-0.5379	-0.8655	-0.89	0.0	0.0
TCGA-CR-7389-01	-0.1214	0.7401	-1.0121	-0.2061	-0.583	-0.5043	-0.6352	-0.1922	0.0	0.0
TCGA-CR-7388-01	-0.7762	-0.6843	-0.538	-0.7201	-0.5061	-0.4979	-0.5255	0.12	0.0	0.0
TCGA-CR-7386-01	0.1354	2.3631	0.087	2.4184	0.2945	-0.194	-0.0413	0.7537	0.0	0.0
TCGA-CR-7385-01	-0.6207	-0.8538	-0.0233	-0.3403	-0.304	-0.4003	-0.4643	0.2882	0.0	0.0
TCGA-CR-7380-01	-0.4454	0.0494	-0.9938	-0.6971	-0.5029	-0.5025	-0.7239	-0.4587	0.0	0.0
TCGA-CR-7379-01	-0.9792	-0.8932	-1.2325	-0.9345	-0.5348	-0.5096	-0.8654	-0.6212	0.0	0.0
TCGA-CR-7377-01	0.012	0.577	-0.2587	1.4732	0.8981	-0.3236	0.2424	0.3178	0.0	0.0
TCGA-CR-7374-01	-0.6034	-0.5724	-1.1013	-0.6412	-0.5881	-0.5289	-0.7174	-0.3604	0.0	0.0
TCGA-CR-7373-01	1.6694	0.2622	1.3305	2.4147	-0.1989	0.1879	1.385	1.7575	0.0	0.0
TCGA-CR-7372-01	-0.9608	-1.0474	-1.1724	-0.7507	-0.6036	-0.5177	-0.861	-0.7488	0.0	0.0
TCGA-CR-7371-01	-0.7319	-0.4608	-0.7263	-0.6926	-0.3923	-0.4634	-0.6794	-0.674	0.0	0.0
TCGA-CR-7367-01	-0.9399	-0.8959	-0.9912	-0.2316	-0.3705	-0.4796	-0.86	-0.5706	0.0	0.0
TCGA-CR-7365-01	-0.5458	-0.3253	-1.0359	-0.2782	-0.3744	-0.4795	-0.4076	-0.605	0.0	0.0
TCGA-CR-7364-01	-1.0709	-1.1365	-0.9834	-0.8476	-0.565	-0.5136	-0.8784	-1.238	0.0	0.0
TCGA-CR-5248-01	-0.671	-0.3053	0.3223	-0.4439	1.4165	-0.4272	-0.3252	-0.0584	0.0	0.0
TCGA-CR-5247-01	-0.8374	-0.9847	-1.1402	-1.0132	-0.6368	-0.5334	-0.7805	-1.2183	0.0	0.0
TCGA-CN-6998-01	0.7438	-0.1112	-0.304	0.9226	-0.4253	-0.2802	0.0443	0.5117	0.0	0.0
TCGA-CN-6997-01	-1.0611	-1.2624	-1.0961	-1.008	-0.5814	-0.5304	-0.7382	-0.687	0.0	0.0
TCGA-CN-6995-01	1.9746	1.3434	3.54	1.9025	0.184	-0.1519	2.0791	0.2286	0.0	0.0
TCGA-CN-5370-01	0.1088	0.526	-0.1423	2.2501	-0.2663	0.6424	-0.2277	0.6505	0.0	0.0
TCGA-BA-7269-01	-1.1665	-0.8221	-1.1261	-1.2026	-0.6187	-0.5107	-0.5779	-1.4766	0.0	0.0
TCGA-D6-6827-01	-0.8874	-1.4198	-0.6777	-1.0634	-0.6121	-0.2558	-0.7924	-1.466	0.0	0.0
TCGA-D6-6826-01	-0.8456	-0.6266	-0.5474	-0.5634	-0.504	-0.4182	-0.7337	-0.7875	0.0	0.0
TCGA-D6-6825-01	1.052	1.1785	0.6157	3.0658	1.2875	0.5952	-0.013	2.7089	0.0	0.0
